user_id,movie_id,estimated_rating
391,12,4.275262132498645
391,462,4.197554724137065
391,507,4.176126309008509
391,480,4.175143771516673
391,479,4.149750260420316
391,427,4.124982981401563
391,59,4.100214545884631
391,659,4.0989449690320985
391,705,4.073521748139563
391,180,4.050986631437482
181,1348,3.53064
181,1339,3.53064
181,1340,3.53064
181,1373,3.53064
181,1371,2.25
181,1357,2.1568569903068733
181,1374,2.15
181,1381,1.95
181,1361,1.9375
181,1346,1.85
637,274,2.803692596918378
637,286,2.7824548332329537
637,257,2.777244160387356
637,685,2.7274560261778644
637,475,2.723993145106087
637,13,2.704915686811863
637,744,2.70002428216255
637,301,2.674651379853824
637,282,2.6508504323738062
637,93,2.6264127259463526
332,405,4.575337281040861
332,12,4.52464129780317
332,64,4.524327476361732
332,9,4.475843564048972
332,234,4.449356631643287
332,975,4.44835741966041
332,237,4.425294139214698
332,22,4.423983791366407
332,763,4.399766113742714
332,31,4.399698593789448
271,141,4.096699204134543
271,135,3.998823791314015
271,187,3.899178757165462
271,204,3.8747323580353688
271,276,3.873105648567422
271,12,3.824566031190272
271,44,3.8234944076140325
271,427,3.798696817945347
271,218,3.7985063714551583
271,28,3.7982550791661303
27,475,3.3489373899500103
27,286,3.3467792803165364
27,123,3.3429220889019433
27,515,3.3411999303829294
27,925,3.337624445379206
27,742,3.336849892327701
27,596,3.3366731183500713
27,118,3.3363324788323383
27,1017,3.323038836843526
27,978,3.3159268338376173
387,642,3.9023446922899807
387,127,3.8740177028404474
387,33,3.850760401908657
387,511,3.850419418357131
387,203,3.8266268936546686
387,518,3.797037288510159
387,198,3.7745661984482513
387,89,3.772431692960972
387,769,3.7550997829705492
387,408,3.749912716178956
92,56,3.923581317449742
92,508,3.8995844661690464
92,183,3.774438570544261
92,173,3.7726512329133204
92,4,3.747884190524073
92,89,3.698549514877931
92,168,3.6739779351435966
92,42,3.6732577305428475
92,13,3.673053673550254
92,7,3.6482842222686864
820,347,3.1463649106045817
820,315,3.135093216085013
820,358,3.133364628718635
820,343,3.130270089051968
820,751,3.129287301731365
479,173,4.274932607686589
479,248,4.22488120755398
479,82,4.12330127722807
479,181,4.07559282055952
479,215,4.074994914181355
479,22,4.073476009449834
479,238,4.049904130799755
479,172,4.025501197253074
479,216,4.024734025645398
479,144,3.9485857442344403
458,654,4.174934265616367
458,484,4.1744156581407
458,64,4.074830993502105
458,527,4.074337402959356
458,515,4.074033351881305
458,58,4.073215531531356
458,134,4.072832211306971
458,56,4.048809688650045
458,302,4.02360524921052
458,189,4.023592984580965
669,208,3.849192400736545
669,276,3.7782443608602305
669,56,3.7716798014264064
669,268,3.7504140842296105
669,172,3.7478567677592682
669,517,3.7463286232661916
669,902,3.7255180237589944
669,511,3.7247533905864327
669,190,3.6983823245648595
669,175,3.696272474180893
295,357,4.62436299152424
295,143,4.499462608967748
